"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"6/19/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($22.04)"
"6/18/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($22.19)"
"6/17/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($3.08)"
"6/16/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.75)"
"6/16/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.5)"
"6/16/2025","SAVERS","Capital One","Quicksilver","Groceries","No","No","($3.52)"
"6/16/2025","SAVERS","Capital One","Quicksilver","Groceries","No","No","($72.8)"
"6/15/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.01)"
"6/14/2025","MARSHALLS MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Clothing","No","No","($24.99)"
"6/14/2025","MARSHALLS MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Clothing","No","No","($36.97)"
"6/14/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.5)"
"6/13/2025","PWP CHICKFILA PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Fast Food & Convenience","No","No","($21.66)"
"6/13/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.29)"
"6/12/2025","KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Gas & Fuel","No","No","($11.21)"
"6/12/2025","TST PASQUALES MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Restaurants/Dining","No","No","($4.27)"
"6/12/2025","KWIK TRIP","Capital One","Quicksilver","Fast Food & Convenience","No","No","($5.68)"
"6/11/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.75)"
"6/11/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($14.02)"
"6/11/2025","KWIK TRIP","Capital One","Quicksilver","Fast Food & Convenience","No","No","($1.61)"
"6/10/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($3.62)"
"6/10/2025","WALMART SUPERCENTERROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Shopping","No","No","($11.11)"
"6/10/2025","KWIK TRIP","Capital One","Quicksilver","Fast Food & Convenience","No","No","($3.4)"
"6/9/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"6/9/2025","SQ SNAPPYSTOP INTL IN","Capital One","Quicksilver","Fast Food & Convenience","No","No","($6.48)"
"6/8/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.34)"
"6/6/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($5.68)"
"6/4/2025","GGLPAY CUB FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($13.22)"
"6/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"6/2/2025","PWP PATREON ME PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Business","No","No","($10.74)"
"6/2/2025","HYVEE ROCHESTER","Capital One","Quicksilver","Groceries","No","No","($1.08)"
"6/1/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.75)"
"6/1/2025","GOOGLE CLOUD GQRXW G.CO HELPPAY CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($2.59)"
"5/31/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($9.34)"
"5/30/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($2.28)"
"5/30/2025","LILSON HEALTH TE BILL.COM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Medical","No","No","$2064.52"
"5/30/2025","GOOGLE FI","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($111.6)"
"5/27/2025","CASH AUTO REDEMPTION","Capital One","Quicksilver","Auto Service","No","No","$25"
"5/27/2025","SANTANDER BILLPAY ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Auto & Transport","No","No","($472.4)"
"5/27/2025","LILSON HEALTH TE ACCTVERIFY ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Medical","No","No","$0.01"
"5/26/2025","CULVERS OF ROCHESTER","Capital One","Quicksilver","Fast Food & Convenience","No","No","($10.9)"
"5/26/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($11.98)"
"5/24/2025","GGLPAY CULVERS OF ROROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($7.56)"
"5/24/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($0.79)"
"5/23/2025","GGLPAY RAILWAY SAN FRANCISCO CA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Subscriptions","No","No","($5)"
"5/22/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($7.78)"
"5/19/2025","KWIK TRIP","Capital One","Quicksilver","Fast Food & Convenience","No","No","($1.49)"
"5/19/2025","KWIK TRIP","Capital One","Quicksilver","Fast Food & Convenience","No","No","($4.19)"
"5/18/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.62)"
"5/17/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($6)"
"5/13/2025","KWIK TRIP","Capital One","Quicksilver","Fast Food & Convenience","No","No","($3.28)"
"5/12/2025","GGLPAY CHICKFILA BLOOMINGTON MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($10.95)"
"5/12/2025","TESLA SUPERCHARGER US TESLA.COM CA","Discover Credit Card - via Direct Web Access","3549","Auto Service","No","No","($4.77)"
"5/12/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"5/10/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.62)"
"5/7/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($23.16)"
"5/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"5/3/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($1.79)"
"5/2/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.77)"
"5/1/2025","GOOGLE CLOUD VNPVW G.CO HELPPAY CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($2.54)"
"4/30/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($7.41)"
"4/30/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($2.99)"
"4/30/2025","GOOGLE FI","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($114.6)"
"4/28/2025","SANTANDER BILLPAY ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Auto & Transport","No","No","($472.4)"
"4/27/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.62)"
"4/25/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($1.49)"
"4/19/2025","GGLPAY KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($6.35)"
"4/19/2025","GOOGLE NINJA KIWI CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($3.24)"
"4/18/2025","PWP NAMECHEAP PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Fast Food & Convenience","No","No","($1.16)"
"4/17/2025","ABC PLANET FITNEROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Gym","No","No","($10.81)"
"4/14/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"4/13/2025","TESLA SUBSCRIPTION US TESLA.COM CA","Discover Credit Card - via Direct Web Access","3549","Subscriptions","No","No","($107.04)"
"4/11/2025","GGLPAY CUB FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($19.8)"
"4/9/2025","PWP RAILWAY PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Clothing","No","No","($5)"
"4/7/2025","YOUR CASH REWARD REFUND IS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Savings","No","No","$16.72"
"4/6/2025","PAYPAL MICROSOFT WA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Electronics & Software","No","No","($8.58)"
"4/6/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.71)"
"4/5/2025","PAYPAL EBAY US CA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Shopping","No","No","($3.24)"
"4/5/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($4.11)"
"4/5/2025","SAVERS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Groceries","No","No","($7.56)"
"4/5/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"4/5/2025","GESMN ROCH ST ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Restaurants/Dining","No","No","($19.41)"
"4/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"4/3/2025","GGLPAY KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($5.77)"
"4/1/2025","PAYPAL EPIC GAMES NC","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Online Payment","No","No","($9.45)"
"4/1/2025","GGLPAY CUB FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($26.16)"
"4/1/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.71)"
"4/1/2025","GOOGLE CLOUD G.CO HELPPAY CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.95)"
"4/1/2025","PWP NAMECHEAP PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Fast Food & Convenience","No","No","($1.17)"
"3/31/2025","GOOGLE FI","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($114.52)"
"3/30/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($1.49)"
"3/26/2025","SANTANDER CONSUM BILLPAY","Online Access - via Direct Web Access","Checking Account","Auto Payment","No","No","($472.4)"
"3/24/2025","RAISING CANES","Capital One","Quicksilver","Fast Food & Convenience","No","No","($39.69)"
"3/23/2025","TAQUITOS","Discover Credit Card - via Direct Web Access","3549","Food","No","No","($3.99)"
"3/21/2025","GGLPAY BALDWIN PARKIROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Parking","No","No","($3)"
"3/21/2025","CASEYS","Capital One","Quicksilver","Fast Food & Convenience","No","No","($3.99)"
"3/18/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"3/17/2025","ABC PLANET FITNEROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Gym","No","No","($10.81)"
"3/17/2025","AMEX SEND ADD MONEY","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($28)"
"3/17/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"3/16/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($4.7)"
"3/13/2025","CUB FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($17.74)"
"3/13/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.71)"
"3/10/2025","GGLPAY CUB FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($6)"
"3/10/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($8.94)"
"3/6/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($4.09)"
"3/6/2025","PAYPAL MICROSOFT WA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Electronics & Software","No","No","($8.58)"
"3/5/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($1.83)"
"3/5/2025","ANTHROPIC CA","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5)"
"3/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"3/3/2025","GOOGLE FI","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($114.52)"
"3/2/2025","OPENAI CA","Discover Credit Card - via Direct Web Access","3549","Personal Care","No","No","($10)"
"2/27/2025","AMEX SEND ADD MONEY","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($60)"
"2/26/2025","CUB FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($15.2)"
"2/26/2025","SANTANDER CONSUM BILLPAY","Online Access - via Direct Web Access","Checking Account","Auto Payment","No","No","($472.4)"
"2/25/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($18.36)"
"2/24/2025","AMEX SEND ADD MONEY","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($90)"
"2/24/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"2/24/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"2/23/2025","GGLPAY KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($6.93)"
"2/22/2025","GGLPAY KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($9.81)"
"2/22/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($15.64)"
"2/22/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.71)"
"2/20/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($4.81)"
"2/19/2025","OPENAI CA","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5)"
"2/18/2025","AMEX SEND ADD MONEY","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($30)"
"2/18/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"2/17/2025","ABC PLANET FITNEROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Gym","No","No","($10.81)"
"2/13/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($4.17)"
"2/12/2025","PAYPAL VISTAPRINT MA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Online Payment","No","No","($34.38)"
"2/9/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($4.81)"
"2/6/2025","MN MC NORTHEAST PHARROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Pharmacy","No","No","($20)"
"2/5/2025","PAYPAL MICROSOFT WA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Electronics & Software","No","No","($8.58)"
"2/5/2025","CUB FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($8.4)"
"2/4/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($7.02)"
"2/3/2025","KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Gas & Fuel","No","No","($8.71)"
"2/3/2025","KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Gas & Fuel","No","No","($5.95)"
"2/1/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($9.4)"
"2/1/2025","EBAY O SAN JOSE CA","Discover Credit Card - via Direct Web Access","3549","Shopping","No","No","($19.31)"
"1/31/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.24)"
"1/30/2025","BALDWIN PARKING MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Parking","No","No","($4)"
"1/30/2025","MCDONALDS ALEXANDRIA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.14)"
"1/30/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"1/30/2025","GOOGLE FI","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($114.52)"
"1/28/2025","SANTANDER CONSUM BILLPAY","Online Access - via Direct Web Access","Checking Account","Auto Payment","No","No","($472.4)"
"1/23/2025","GGLPAY CASEYS ALEXANDRIA MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($12.22)"
"1/23/2025","MCDONALDS ZUMBROTA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($9.01)"
"1/22/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"1/22/2025","GRAHAM PARKING ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Parking","No","No","($2)"
"1/22/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"1/21/2025","ARBYS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($2.7)"
"1/21/2025","PAYPAL BURGER KING MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($5.41)"
"1/21/2025","MARSHALLS MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Clothing","No","No","($39.98)"
"1/21/2025","PWP PATREON ME PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Business","No","No","($2.15)"
"1/20/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"1/20/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($3.32)"
"1/19/2025","PAYPAL BURGER KING MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($5.41)"
"1/19/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($4.45)"
"1/19/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.4)"
"1/17/2025","FITNEROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Gym","No","No","($10.81)"
"1/17/2025","WCA COMPETITION FEE MN","Discover Credit Card - via Direct Web Access","3549","Fees & Charges","No","No","($30)"
"1/17/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.24)"
"1/16/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.84)"
"1/15/2025","KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Gas & Fuel","No","No","($6.64)"
"1/15/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"1/14/2025","TAQUITOS","Discover Credit Card - via Direct Web Access","3549","Food","No","No","($3.32)"
"1/13/2025","GGLPAY KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($5.15)"
"1/13/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"1/12/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.4)"
"1/12/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.84)"
"1/11/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($9.4)"
"1/10/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.71)"
"1/10/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.71)"
"1/8/2025","BREV.DEV CA","Discover Credit Card - via Direct Web Access","3549","Restaurants/Dining","No","No","($20)"
"1/8/2025","PWP OPENAI PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Personal Care","No","No","($5)"
"1/7/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.24)"
"1/6/2025","GGLPAY KWIK TRIP ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($6.49)"
"1/6/2025","PAYPAL MICROSOFT WA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Electronics & Software","No","No","($8.58)"
"1/6/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"1/6/2025","CULVERS MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($12.86)"
"1/6/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($9.4)"
"1/6/2025","WALMART STORE ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Shopping","No","No","($11.69)"
"1/5/2025","CASEYS ORONCO MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6)"
"1/5/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.56)"
"1/4/2025","GOOGLE CLOUD GCOHELPPAY C","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Electronics & Software","No","No","($10)"
"1/4/2025","PAYPAL EBAY US CA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Shopping","No","No","($12.26)"
"1/4/2025","PAYPAL THRIFTBOOKS WA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Books","No","No","($46.66)"
"1/4/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($5.41)"
